LoginTime,LogoffTime,UserName,DomainName,IP,备注
"Mar 8, 2022 @ 01:41:00.676","Mar 8, 2022 @ 02:31:20.723",heather.zhou,VERSACE,10.86.3.206,
"Mar 8, 2022 @ 01:41:33.935","Mar 8, 2022 @ 02:32:05.230",jun.ip,VERSACE,10.86.3.78,
"Mar 8, 2022 @ 01:47:39.100","Mar 8, 2022 @ 01:47:49.819",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 01:48:30.715","Mar 8, 2022 @ 02:12:46.876",Yui.Chen,VERSACE,10.86.3.166,
"Mar 8, 2022 @ 01:50:58.616","Mar 8, 2022 @ 01:51:14.656",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 01:55:15.054","Mar 8, 2022 @ 02:03:18.374",Shannon.Wu,VERSACE,10.86.3.218,
"Mar 8, 2022 @ 01:56:41.453","Mar 8, 2022 @ 12:29:37.144",Steven.Wangye,VERSACE,10.86.3.84,
"Mar 8, 2022 @ 01:57:13.590","Mar 8, 2022 @ 05:53:48.958",brian.yuan,VERSACE,10.86.3.164,
"Mar 8, 2022 @ 02:00:11.404","Mar 8, 2022 @ 06:04:40.761",Iris.zhang,VERSACE,10.86.3.211,
"Mar 8, 2022 @ 02:03:51.665","Mar 8, 2022 @ 02:04:07.717",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:04:40.072","Mar 8, 2022 @ 06:26:36.597",Shannon.Wu,VERSACE,10.86.3.218,
"Mar 8, 2022 @ 02:05:18.215","Mar 8, 2022 @ 04:21:25.493",carine.shen,VERSACE,10.86.3.119,
"Mar 8, 2022 @ 02:06:54.718","Mar 8, 2022 @ 10:50:37.721",peter.pan,VERSACE,10.86.3.220,
"Mar 8, 2022 @ 02:08:47.289","Mar 8, 2022 @ 02:11:08.143",rebecca.jiang,VERSACE,10.86.3.42,
"Mar 8, 2022 @ 02:10:28.362","Mar 8, 2022 @ 02:10:45.725",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:12:40.012","Mar 8, 2022 @ 02:12:50.776",PF2XVQQ2$,VERSACE,10.86.3.176,
"Mar 8, 2022 @ 02:15:21.598","Mar 8, 2022 @ 02:15:42.954",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:15:59.365","Mar 8, 2022 @ 03:20:12.013",tina.wang,VERSACE,10.86.3.145,
"Mar 8, 2022 @ 02:17:06.446","Mar 8, 2022 @ 05:55:12.512",Susan.Ni,VERSACE,10.86.3.104,
"Mar 8, 2022 @ 02:22:02.505","Mar 8, 2022 @ 02:22:23.924",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:23:49.880","Mar 8, 2022 @ 10:27:19.937",Gary.Chen,VERSACE,10.86.3.88,
"Mar 8, 2022 @ 02:24:32.531","Mar 8, 2022 @ 02:24:48.599",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:24:38.927","Mar 9, 2022 @ 10:15:42.303",mika.zhang,VERSACE,10.86.3.83,
"Mar 8, 2022 @ 02:26:09.220","Mar 8, 2022 @ 02:30:48.634",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:26:26.957","Mar 8, 2022 @ 05:50:51.787",pamela.qin,VERSACE,10.86.3.101,
"Mar 8, 2022 @ 02:27:43.008","Mar 8, 2022 @ 02:27:54.100",PC19YZXZ$,VERSACE,10.86.3.104,
"Mar 8, 2022 @ 02:31:27.634","Mar 8, 2022 @ 02:31:43.577",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:34:28.392","Mar 8, 2022 @ 02:34:44.445",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:34:28.501","Mar 8, 2022 @ 08:18:39.702",fin.outsourcing,VERSACE,10.86.1.182,
"Mar 8, 2022 @ 02:36:16.938","Mar 8, 2022 @ 02:37:02.662",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:37:19.104","Mar 8, 2022 @ 02:37:29.884",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:40:25.634","Mar 8, 2022 @ 07:59:21.052",anson.lau,VERSACE,192.168.0.164,
"Mar 8, 2022 @ 02:41:20.562","Mar 8, 2022 @ 02:47:53.264",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:48:08.630","Mar 8, 2022 @ 05:03:28.809",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 02:48:56.475","Mar 8, 2022 @ 03:15:51.335",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 02:49:08.472","Mar 8, 2022 @ 05:16:58.267",mk.vpnuser1,VERSACE,10.86.1.185,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 02:50:43.898","Mar 8, 2022 @ 03:06:09.202",Jenny.Lai,VERSACE,10.86.9.121,
"Mar 8, 2022 @ 02:51:58.372","Mar 8, 2022 @ 06:53:56.893",wendy.chenwenting,VERSACE,10.86.3.30,
"Mar 8, 2022 @ 02:52:31.538","Mar 8, 2022 @ 05:43:22.192",kate.wang,VERSACE,10.86.9.129,
"Mar 8, 2022 @ 02:52:34.830","Mar 8, 2022 @ 12:14:15.974",Lydia.Hou,VERSACE,10.86.9.111,
"Mar 8, 2022 @ 02:52:51.054","Mar 8, 2022 @ 05:29:54.388",amanda.su,VERSACE,10.86.3.229,
"Mar 8, 2022 @ 02:55:09.053","Mar 8, 2022 @ 04:12:32.360",Frances.Cao,VERSACE,10.86.3.128,
"Mar 8, 2022 @ 02:55:18.881","Mar 8, 2022 @ 11:28:15.489",char.lu,VERSACE,10.86.3.210,
"Mar 8, 2022 @ 02:55:27.336","Mar 8, 2022 @ 02:55:48.958",PC1PQRP2$,VERSACE,10.86.3.83,
"Mar 8, 2022 @ 02:55:45.104","Mar 8, 2022 @ 05:15:53.028",Lily.Ren,VERSACE,10.86.3.123,
"Mar 8, 2022 @ 03:02:13.890","Mar 9, 2022 @ 05:47:13.180",Yui.Chen,VERSACE,10.86.3.166,
"Mar 8, 2022 @ 03:03:27.491","Mar 8, 2022 @ 03:55:19.321",Karena.Li,VERSACE,10.86.3.158,
"Mar 8, 2022 @ 03:03:32.593","Mar 8, 2022 @ 05:08:54.274",Kyna.Li,VERSACE,10.86.3.32,
"Mar 8, 2022 @ 03:06:12.166","Mar 8, 2022 @ 04:06:50.016",heather.zhou,VERSACE,10.86.3.206,
"Mar 8, 2022 @ 03:06:20.387","Mar 8, 2022 @ 03:21:54.334",PC1CSJ0G$,VERSACE,10.86.9.130,
"Mar 8, 2022 @ 03:06:45.425","Mar 8, 2022 @ 05:02:42.555",Eleanor.Fan,VERSACE,10.86.3.92,
"Mar 8, 2022 @ 03:10:34.700","Mar 8, 2022 @ 03:56:32.283",ginny.cheng,VERSACE,10.86.3.178,
"Mar 8, 2022 @ 03:14:18.093","Mar 8, 2022 @ 03:14:44.270",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:21:15.973","Mar 8, 2022 @ 03:45:20.153",Philip.Yang,VERSACE,10.86.3.224,
"Mar 8, 2022 @ 03:21:52.852","Mar 8, 2022 @ 05:16:07.427",tina.wang,VERSACE,10.86.3.145,
"Mar 8, 2022 @ 03:22:02.914","Mar 8, 2022 @ 03:22:35.003",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:30:01.322","Mar 8, 2022 @ 03:30:22.570",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:33:55.433","Mar 8, 2022 @ 03:34:22.218",Gloria.Yang,VERSACE,10.86.3.126,
